true_class,predicted_class,count
Leonberger,Shiba Inu,1
Russian Blue,Staffordshire Bull Terrier,1
Russian Blue,Siamese,1
Russian Blue,Scottish Terrier,1
Russian Blue,Saint Bernard,1
Russian Blue,Ragdoll,1
Russian Blue,Great Pyrenees,1
Maine Coon,Shiba Inu,1
Maine Coon,Miniature Pinscher,1
Maine Coon,Great Pyrenees,1
Maine Coon,English Cocker Spaniel,1
Miniature Pinscher,English Setter,1
Keeshond,Egyptian Mau,1
Leonberger,British Shorthair,1
Leonberger,Bombay,1
Leonberger,Beagle,1
Keeshond,Sphynx,1
Keeshond,Siamese,1
Saint Bernard,Persian,1
Saint Bernard,Newfoundland,1
Saint Bernard,Miniature Pinscher,1
Saint Bernard,Leonberger,1
Saint Bernard,Great Pyrenees,1
Saint Bernard,Birman,1
Leonberger,Scottish Terrier,1
Leonberger,Russian Blue,1
Leonberger,Ragdoll,1
Leonberger,Japanese Chin,1
Japanese Chin,Beagle,1
Keeshond,Boxer,1
Keeshond,Basset Hound,1
Japanese Chin,Yorkshire Terrier,1
Japanese Chin,Sphynx,1
Japanese Chin,Samoyed,1
Japanese Chin,Ragdoll,1
Samoyed,English Setter,1
Samoyed,Bombay,1
Samoyed,Bengal,1
Samoyed,Basset Hound,1
Saint Bernard,Wheaten Terrier,1
Keeshond,Persian,1
Keeshond,Miniature Pinscher,1
Keeshond,Leonberger,1
Keeshond,English Cocker Spaniel,1
Great Pyrenees,Yorkshire Terrier,1
Great Pyrenees,Siamese,1
Scottish Terrier,Beagle,1
Scottish Terrier,Basset Hound,1
Samoyed,Siamese,1
Samoyed,Shiba Inu,1
Samoyed,Scottish Terrier,1
Samoyed,Russian Blue,1
Samoyed,Keeshond,1
Japanese Chin,Abyssinian,1
Havanese,Pomeranian,1
Japanese Chin,Newfoundland,1
Japanese Chin,Maine Coon,1
Japanese Chin,Chihuahua,1
Japanese Chin,British Shorthair,1
Japanese Chin,Bombay,1
German Shorthaired,Siamese,1
German Shorthaired,Scottish Terrier,1
Scottish Terrier,Pomeranian,1
Scottish Terrier,Maine Coon,1
Scottish Terrier,English Setter,1
Great Pyrenees,Russian Blue,1
Great Pyrenees,Newfoundland,1
Great Pyrenees,Maine Coon,1
Great Pyrenees,Havanese,1
Great Pyrenees,Chihuahua,1
Great Pyrenees,British Shorthair,1
Havanese,English Cocker Spaniel,1
Havanese,Chihuahua,1
Havanese,Boxer,1
Havanese,Bombay,1
Havanese,Basset Hound,1
English Setter,Newfoundland,1
English Setter,Miniature Pinscher,1
English Setter,Leonberger,1
English Setter,Japanese Chin,1
Shiba Inu,British Shorthair,1
Shiba Inu,American Bulldog,1
Scottish Terrier,Yorkshire Terrier,1
Scottish Terrier,Shiba Inu,1
Scottish Terrier,Ragdoll,1
German Shorthaired,Leonberger,1
